,didr,disease,drug,Wrname,Wdname
296,0,0.111999,0.11364,,
297,0,0.129261,0.24332,,
298,0,0.093832,0.17551,,
299,0,0.0,0.20645,,
300,0,0.120058,0.1434,,
301,0,0.0,0.19064,,
302,0,0.187717,0.12803,,
303,0,0.0,0.10853,,
304,0,0.111254,0.42336,,
305,0,0.0,0.17063,,
306,0,0.126005,0.24294,,
307,0,0.107398,0.11974,,
308,0,0.088925,0.46417,,
309,0,0.019612,0.15493,,
310,0,0.0,0.38907,,
311,0,0.0,0.31667,,
312,0,0.082574,0.25954,,
313,0,0.0,0.11983,,
314,0,0.082591,0.11934,,
315,0,0.083552,0.24911,,
316,0,0.0,0.27863,,
317,0,0.062137,0.19527,,
318,0,0.052608,0.10769,,
319,0,0.0,0.26296,,
320,0,0.0,0.15353,,
321,0,0.0,0.37768,,
322,0,0.084654,0.15498,,
323,0,0.0,0.04603,,
324,0,0.0,0.36726,,
325,0,0.190407,0.12397,,
326,0,0.0,0.2673,,
327,0,0.0,0.20478,,
328,0,0.064953,0.10714,,
329,0,0.0,0.14232,,
330,0,0.087268,0.11789,,
331,0,0.0,0.30515,,
332,0,0.059871,0.22222,,
333,0,0.0,0.32841,,
334,0,0.229144,0.16183,,
335,0,0.0,0.17526,,
336,0,0.0,0.22314,,
337,0,0.0,0.05285,,
338,0,0.0,0.32955,,
339,0,0.0,0.2439,,
340,0,0.103071,0.27164,,
341,0,0.125939,0.2904,,
342,0,0.10991,0.02575,,
343,0,0.124834,0.12548,,
344,0,0.0,0.21364,,
345,0,0.093511,0.30258,,
346,0,0.177686,0.19377,,
347,0,0.180094,0.11673,,
348,0,0.0,0.251,,
349,0,0.028267,0.24629,,
350,0,0.046346,0.28205,,
351,0,0.207371,0.14231,,
352,0,0.0,0.13242,,
353,0,0.0,0.20576,,
354,0,0.0,0.10976,,
355,0,0.0,0.17538,,
356,0,0.0,0.15217,,
357,0,0.0,0.33333,,
358,0,0.0,0.18143,,
359,0,0.0,0.1661,,
360,0,0.07602,0.21136,,
361,0,0.0,0.19028,,
362,0,0.0,0.14783,,
363,0,0.064368,0.22684,,
364,0,0.137188,0.20339,,
365,0,0.089572,0.19262,,
366,0,0.080527,0.21097,,
367,0,0.088591,0.16384,,
368,0,0.161762,0.2,,
369,0,0.0,0.09574,,
370,0,0.158351,0.44737,,
371,0,0.0,0.05,,
372,0,0.0,0.13781,,
373,0,0.12095,0.1476,,
374,0,0.096292,0.17845,,
375,0,0.0,0.21721,,
376,0,0.070498,0.22093,,
377,0,0.024371,0.23715,,
378,0,0.0,0.29236,,
379,0,0.02513,0.14777,,
380,0,0.026073,0.02715,,
381,0,0.049159,0.20357,,
382,0,0.0,0.15326,,
383,0,0.102707,0.21778,,
384,0,0.05518,0.17241,,
385,0,0.0,0.09205,,
386,0,0.0,0.08929,,
387,0,0.0,0.11858,,
388,0,0.0,0.128,,
389,0,0.064828,0.09764,,
390,0,0.0,0.28981,,
391,0,0.032201,0.20705,,
392,0,0.179171,0.14062,,
393,0,0.0,0.17778,,
394,0,0.017399,0.2,,
395,0,0.103659,0.13208,,
396,0,0.099807,0.23313,,
397,0,0.169104,0.08997,,
398,0,0.0,0.41699,,
399,0,0.03072,0.172,,
400,0,0.143014,0.10469,,
401,0,0.0,0.1502,,
402,0,0.0,0.17568,,
403,0,0.0,0.04018,,
404,0,0.0,0.19573,,
405,0,0.0,0.02294,,
406,0,0.094405,0.26939,,
407,0,0.12665,0.18846,,
408,0,0.0,0.31541,,
409,0,,0.24138,,
410,0,,0.22857,,
411,0,,0.28889,,
412,0,,0.375,,
413,0,,0.11765,,
414,0,,0.28276,,
415,0,,0.04977,,
416,0,,0.12308,,
417,0,,0.26172,,
418,0,,0.1875,,
419,0,,0.29,,
420,0,,0.125,,
421,0,,0.1551,,
422,0,,0.12121,,
423,0,,0.21865,,
424,0,,0.12598,,
425,0,,0.14286,,
426,0,,0.10526,,
427,0,,0.19005,,
428,0,,0.25207,,
429,0,,0.11373,,
430,0,,0.11429,,
431,0,,0.20992,,
432,1,,0.1234,,
433,0,,0.19409,,
434,0,,0.30041,,
435,0,,0.26087,,
436,0,,0.32,,
437,0,,0.12721,,
438,0,,0.08984,,
439,0,,0.12062,,
440,0,,0.21339,,
441,0,,0.11673,,
442,0,,0.22951,,
443,0,,0.26619,,
444,0,,0.21333,,
445,0,,0.31469,,
446,0,,0.25352,,
447,0,,0.31317,,
448,0,,0.1773,,
449,0,,0.20968,,
450,0,,0.05285,,
451,0,,0.22177,,
452,0,,0.19926,,
453,0,,0.21341,,
454,0,,0.14865,,
455,0,,0.176,,
456,0,,0.09449,,
457,0,,0.19113,,
458,0,,0.125,,
459,0,,0.14851,,
460,0,,0.15909,,
461,0,,0.09292,,
462,0,,0.24294,,
463,0,,0.38889,,
464,0,,0.09343,,
465,0,,0.19048,,
466,0,,0.24597,,
467,0,,0.14384,,
468,0,,0.0411,,
469,0,,0.1145,,
470,0,,0.05983,,
471,0,,0.11814,,
472,0,,0.20417,,
473,0,,0.1236,,
474,0,,0.19455,,
475,0,,0.2226,,
476,0,,0.26225,,
477,0,,0.16736,,
478,0,,0.10268,,
479,0,,0.10469,,
480,0,,0.21404,,
481,0,,0.2459,,
482,0,,0.26389,,
483,0,,0.26954,,
484,0,,0.14695,,
485,0,,0.13983,,
486,0,,0.17195,,
487,0,,0.176,,
488,0,,0.25523,,
489,0,,0.23013,,
490,0,,0.04977,,
491,0,,0.24069,,
492,0,,0.15058,,
493,0,,0.12832,,
494,0,,0.2887,,
495,0,,0.18631,,
496,0,,0.19776,,
497,0,,0.19824,,
498,0,,0.34956,,
499,0,,0.24573,,
500,1,,0.16,,
501,0,,0.10078,,
502,0,,0.08171,,
503,0,,0.13566,,
504,0,,0.44326,,
505,0,,0.18699,,
506,0,,0.14719,,
507,0,,0.23611,,
508,0,,0.02979,,
509,0,,0.08734,,
510,0,,0.23016,,
511,0,,0.21481,,
512,0,,0.29297,,
513,0,,0.10042,,
514,0,,0.15867,,
515,0,,0.24437,,
516,0,,0.231,,
517,0,,0.06226,,
518,0,,0.20274,,
519,0,,0.23137,,
520,0,,0.18062,,
521,0,,0.27049,,
522,0,,0.19392,,
523,0,,0.20161,,
524,0,,0.23333,,
525,0,,0.20619,,
526,0,,0.22034,,
527,0,,0.22008,,
528,0,,0.16738,,
529,0,,0.14615,,
530,0,,0.17992,,
531,0,,0.16327,,
532,0,,0.20137,,
533,0,,0.29474,,
534,0,,0.06693,,
535,0,,0.23673,,
536,0,,0.22941,,
537,0,,0.18505,,
538,0,,0.08787,,
539,0,,0.06324,,
540,0,,0.19913,,
541,0,,0.22801,,
542,0,,0.136,,
543,0,,0.19048,,
544,0,,0.19708,,
545,0,,0.15538,,
546,0,,0.3097,,
547,0,,0.22961,,
548,0,,0.23562,,
549,0,,0.0181,,
550,0,,0.12832,,
551,0,,0.15812,,
552,0,,0.20084,,
553,0,,0.21176,,
554,0,,0.13043,,
555,0,,0.24566,,
556,0,,0.12403,,
557,0,,0.2439,,
558,0,,0.09728,,
559,0,,0.37405,,
560,0,,0.12454,,
561,0,,0.04911,,
562,0,,0.31667,,
563,0,,0.23106,,
564,0,,0.20175,,
565,0,,0.22433,,
566,0,,0.23616,,
567,0,,0.26432,,
568,0,,0.43567,,
569,0,,0.20642,,
570,0,,0.24719,,
571,0,,0.19926,,
572,0,,0.25869,,
573,0,,0.18145,,
574,0,,0.19305,,
575,0,,0.13127,,
576,0,,0.16721,,
577,0,,0.1875,,
578,0,,0.16084,,
579,0,,0.16207,,
580,0,,0.21107,,
581,0,,0.25253,,
582,0,,0.21887,,
583,0,,0.3012,,
584,0,,0.17904,,
585,0,,0.45055,,
586,0,,0.17442,,
587,0,,0.11923,,
588,0,,0.24889,,
589,0,,0.14108,,
590,0,,0.25725,,
591,0,,0.13841,,
592,0,,0.15,,
593,0,,0.14231,,
594,0,,0.23077,,
595,0,,0.09302,,
596,0,,0.28529,,
597,0,,0.12653,,
598,0,,0.19714,,
599,0,,0.32735,,
600,0,,0.32946,,
601,0,,0.18497,,
602,0,,0.15603,,
603,0,,0.25658,,
604,0,,0.21927,,
605,0,,0.28615,,
606,0,,0.23708,,
607,0,,0.08537,,
608,0,,0.1391,,
609,0,,0.24498,,
610,0,,0.14961,,
611,0,,0.19708,,
612,0,,0.22821,,
613,0,,0.12552,,
614,0,,0.00459,,
615,0,,0.22358,,
616,0,,0.21778,,
617,0,,0.23237,,
618,0,,0.02283,,
619,0,,0.2439,,
620,0,,0.13158,,
621,0,,0.11905,,
622,0,,0.10656,,
623,0,,0.14179,,
624,0,,0.16554,,
625,0,,0.16438,,
626,0,,0.17293,,
627,0,,0.06364,,
628,0,,0.29801,,
629,0,,0.15596,,
630,0,,0.18349,,
631,0,,0.23348,,
632,0,,0.28616,,
633,0,,0.21224,,
634,0,,0.22553,,
635,0,,0.16319,,
636,0,,0.16842,,
637,0,,0.14644,,
638,0,,0.15862,,
639,0,,0.26459,,
640,0,,0.24031,,
641,0,,0.29379,,
642,0,,0.21194,,
643,0,,0.23413,,
644,0,,0.46595,,
645,0,,0.1115,,
646,0,,0.1712,,
647,0,,0.2875,,
648,0,,0.15789,,
649,0,,0.15441,,
650,0,,0.14786,,
651,0,,0.1811,,
652,0,,0.22727,,
653,0,,0.16549,,
654,0,,0.20553,,
655,0,,0.12639,,
656,0,,0.21212,,
657,0,,0.31873,,
658,0,,0.26407,,
659,0,,0.2,,
660,0,,0.21779,,
661,0,,0.18076,,
662,0,,0.21341,,
